Execution time: 16530; Thread index: 1;
Execution time: 16665; Thread index: 3;
Execution time: 16788; Thread index: 2;
Execution time: 27486; Thread index: 1;
Execution time: 27598; Thread index: 3;
Execution time: 27685; Thread index: 2;
Execution time: 38681; Thread index: 3;
Execution time: 38745; Thread index: 1;
Execution time: 38897; Thread index: 2;
Execution time: 51435; Thread index: 2;
Execution time: 51476; Thread index: 1;
Execution time: 51645; Thread index: 3;
Execution time: 62614; Thread index: 3;
Execution time: 62771; Thread index: 1;
Execution time: 62901; Thread index: 2;
Execution time: 73469; Thread index: 1;
Execution time: 73544; Thread index: 3;
Execution time: 73729; Thread index: 2;
Execution time: 85805; Thread index: 1;
Execution time: 86092; Thread index: 2;
Execution time: 86152; Thread index: 3;
Execution time: 97522; Thread index: 1;
Execution time: 97560; Thread index: 3;
Execution time: 97758; Thread index: 2;
Execution time: 110770; Thread index: 2;
Execution time: 110811; Thread index: 1;
Execution time: 111018; Thread index: 3;
Execution time: 132777; Thread index: 1;
Execution time: 132793; Thread index: 2;
Execution time: 133035; Thread index: 3;
Execution time: 146873; Thread index: 2;
Execution time: 146906; Thread index: 1;
Execution time: 146979; Thread index: 3;
Execution time: 168639; Thread index: 1;
Execution time: 168800; Thread index: 3;
Execution time: 168884; Thread index: 2;
Execution time: 180557; Thread index: 2;
Execution time: 180858; Thread index: 1;
Execution time: 180876; Thread index: 3;
Execution time: 194987; Thread index: 1;
Execution time: 195055; Thread index: 2;
Execution time: 195396; Thread index: 3;
Execution time: 207722; Thread index: 1;
Execution time: 208080; Thread index: 2;
Execution time: 208113; Thread index: 3;
Execution time: 228417; Thread index: 1;
Execution time: 228762; Thread index: 2;
Execution time: 229565; Thread index: 3;
Execution time: 252300; Thread index: 1;
Execution time: 253110; Thread index: 2;
Execution time: 254104; Thread index: 3;
Execution time: 271534; Thread index: 1;
Execution time: 271668; Thread index: 3;
Execution time: 271736; Thread index: 2;
Execution time: 284785; Thread index: 1;
Execution time: 284940; Thread index: 3;
Execution time: 284955; Thread index: 2;
Execution time: 296103; Thread index: 1;
Execution time: 296350; Thread index: 3;
Execution time: 296405; Thread index: 2;
Execution time: 306557; Thread index: 3;
Execution time: 306700; Thread index: 1;
Execution time: 306796; Thread index: 2;
Execution time: 317390; Thread index: 3;
Execution time: 317502; Thread index: 1;
Execution time: 317626; Thread index: 2;
Execution time: 328406; Thread index: 2;
Execution time: 328561; Thread index: 1;
Execution time: 328648; Thread index: 3;
Execution time: 338889; Thread index: 2;
Execution time: 339037; Thread index: 1;
Execution time: 339100; Thread index: 3;
Execution time: 349637; Thread index: 2;
Execution time: 349798; Thread index: 1;
Execution time: 349881; Thread index: 3;
Execution time: 360103; Thread index: 1;
Execution time: 360317; Thread index: 3;
Execution time: 360403; Thread index: 2;
Execution time: 370580; Thread index: 3;
Execution time: 370750; Thread index: 1;
Execution time: 370828; Thread index: 2;
Execution time: 382864; Thread index: 1;
Execution time: 383065; Thread index: 3;
Execution time: 383140; Thread index: 2;
Execution time: 394333; Thread index: 3;
Execution time: 394476; Thread index: 1;
Execution time: 394569; Thread index: 2;
Execution time: 405714; Thread index: 1;
Execution time: 405778; Thread index: 2;
Execution time: 405936; Thread index: 3;
Execution time: 416486; Thread index: 2;
Execution time: 416503; Thread index: 1;
Execution time: 416716; Thread index: 3;
Execution time: 427373; Thread index: 1;
Execution time: 427629; Thread index: 3;
Execution time: 427707; Thread index: 2;
Execution time: 438608; Thread index: 3;
Execution time: 438620; Thread index: 2;
Execution time: 438815; Thread index: 1;
Execution time: 449115; Thread index: 3;
Execution time: 449116; Thread index: 2;
Execution time: 449195; Thread index: 1;
Execution time: 459848; Thread index: 1;
Execution time: 459862; Thread index: 2;
Execution time: 460055; Thread index: 3;
Execution time: 470985; Thread index: 1;
Execution time: 471133; Thread index: 2;
Execution time: 471178; Thread index: 3;
Execution time: 481907; Thread index: 2;
Execution time: 482018; Thread index: 3;
Execution time: 482139; Thread index: 1;
Execution time: 492800; Thread index: 1;
Execution time: 492912; Thread index: 3;
Execution time: 492967; Thread index: 2;
Execution time: 503567; Thread index: 1;
Execution time: 503779; Thread index: 2;
Execution time: 503825; Thread index: 3;
Execution time: 513701; Thread index: 2;
Execution time: 513791; Thread index: 1;
Execution time: 513879; Thread index: 3;
Execution time: 524272; Thread index: 3;
Execution time: 524370; Thread index: 1;
Execution time: 524476; Thread index: 2;
Execution time: 534545; Thread index: 1;
Execution time: 534759; Thread index: 3;
Execution time: 534812; Thread index: 2;
Execution time: 546447; Thread index: 3;
Execution time: 546628; Thread index: 1;
Execution time: 546695; Thread index: 2;
Execution time: 557382; Thread index: 1;
Execution time: 557848; Thread index: 2;
Execution time: 558096; Thread index: 3;
